MTW > 40 GeV:
------------------------------------------------------------------------------------
Initial	Scrap	HEHB	Trigger	PV	Muon	LMVeto	LEVeto	Jet	MT	bTag

19069	19069	0	1444	1444	1187	1186	1185	564	442	0
------------------------------------------------------------------------------------

RunNumber|	EventNumber|	LumiBlock|	ptLepton|	relIso|	ptjet1|	ptjet2|	MET|	MT|	btagjet1|	btagjet2
================================================================================================================================
1|	3406753|	7|	21.2271|	0.0857065 (0, 1.8193, 0) |	155.43|	93.2397|	87.5116|	79.6477|	|	
1|	3406773|	7|	36.6701|	0.109456 (0.80672, 2.67188, 0.535166) |	70.594|	60.1322|	73.2493|	76.2838|	|	
1|	3406787|	7|	60.313|	0 (0, 0, 0) |	77.3393|	50.8069|	39.8018|	60.2484|	|	
1|	3406800|	7|	53.5209|	0 (0, 0, 0) |	49.4788|	32.5361|	19.1716|	63.9553|	|	
1|	3406858|	7|	37.5243|	0.0359182 (0, 1.34781, 0) |	123.481|	83.0253|	30.8292|	55.3755|	|	
1|	3406869|	7|	46.4399|	0.046389 (0, 1.4825, 0.671802) |	101.545|	93.9514|	57.2014|	89.9667|	|	
1|	3406882|	7|	86.3363|	0.0101 (0, 0.871995, 0) |	42.8413|	32.4371|	41.3099|	95.1297|	|	
1|	3406902|	7|	32.782|	0 (0, 0, 0) |	56.9988|	55.731|	43.1967|	54.8419|	|	
1|	3407002|	7|	52.7687|	0.0310027 (0.929578, 0.706392, 0) |	115.367|	104.132|	52.4029|	102.294|	|	
1|	3407005|	7|	50.4604|	0.0677818 (2.47614, 0.430391, 0.513766) |	86.9037|	52.8347|	51.9307|	89.0441|	|	
1|	3407054|	7|	58.3249|	0.0180071 (0, 0.149852, 0.900412) |	122.386|	71.8439|	69.2602|	79.8784|	|	
1|	3407079|	7|	60.9149|	0.0303062 (1.27271, 0, 0.573392) |	101.622|	74.0036|	33.549|	42.0441|	|	
1|	3447451|	7|	71.6225|	0.0596159 (0, 2.14277, 2.12707) |	77.9747|	55.0543|	56.5952|	74.9992|	|	
1|	3447493|	7|	71.1823|	0.00595596 (0, 0.423959, 0) |	95.4897|	41.456|	62.5998|	90.5861|	|	
1|	3447505|	7|	62.3948|	0.0206817 (0.623418, 0, 0.667012) |	47.6741|	45.2951|	42.318|	97.6789|	|	
1|	3447641|	7|	38.8445|	0.0646964 (0, 1.43024, 1.08285) |	74.9311|	60.6111|	45.6723|	61.2785|	|	
1|	3447646|	7|	45.9896|	0.0720035 (0, 3.31141, 0) |	156.047|	90.2134|	37.2841|	67.1551|	|	
