Exactly one tagged jet, d_{TCHP} > 3.41:
------------------------------------------------------------------------------------
Initial	Scrap	HEHB	Trigger	PV	Muon	LMVeto	LEVeto	Jet	MT	bTag

19069	19069	0	1444	1442	1185	1184	1183	563	441	183
------------------------------------------------------------------------------------

RunNumber|	EventNumber|	LumiBlock|	ptLepton|	relIso|	ptjet1|	ptjet2|	MET|	MT|	btagjet1|	btagjet2
================================================================================================================================
1|	3076064|	7|	35.405|	0.0505949 (0, 1.79131, 0) |	133.356|	97.3734|	49.2518|	82.0959|	11.5409|	
1|	3350243|	7|	57.7134|	0.0449762 (0, 2.59573, 0) |	68.2654|	43.5458|	37.4947|	45.9251|	3.71287|	
1|	3350279|	7|	27.9549|	0.0858379 (1.67315, 0, 0.726439) |	113.49|	59.3952|	87.8526|	78.333|	12.1956|	
1|	3350337|	7|	35.561|	0.0449268 (0.916195, 0.68145, 0) |	38.1783|	33.3678|	30.6087|	65.4371|	3.62166|	
1|	3350376|	7|	54.6623|	0.0312082 (0, 1.70591, 0) |	105.025|	100.845|	39.7085|	91.0594|	20.041|	
1|	3350410|	7|	53.4145|	0 (0, 0, 0) |	118.715|	88.794|	52.3953|	80.6499|	4.11729|	
1|	834315|	2|	28.151|	0 (0, 0, 0) |	79.155|	50.8127|	60.1141|	82.2744|	25.3686|	
1|	834341|	2|	36.4722|	0.0383163 (0.654845, 0, 0.742636) |	97.7993|	48.3128|	50.2708|	74.9859|	19.6585|	
1|	834362|	2|	70.2794|	0.0149572 (0, 1.05118, 0) |	154.439|	104.68|	33.8292|	82.0237|	8.45653|	
1|	834370|	2|	68.3141|	0.0765625 (3.97361, 1.25668, 0) |	88.2615|	52.5805|	12.7805|	59.04|	6.32725|	
1|	834706|	2|	47.0782|	0.080323 (0.803909, 1.27698, 1.70057) |	129.652|	77.0252|	42.2144|	52.1362|	46.8403|	
1|	834784|	2|	44.6832|	0.0563083 (0, 2.51603, 0) |	71.6183|	56.6418|	53.6682|	77.4424|	5.32482|	
1|	916775|	2|	51.2264|	0.0523788 (2.68318, 0, 0) |	83.0547|	59.1572|	16.2842|	55.6553|	6.3469|	
1|	916956|	2|	55.4378|	0 (0, 0, 0) |	116.31|	90.6844|	32.7413|	84.1264|	15.0851|	
1|	917022|	2|	34.8547|	0 (0, 0, 0) |	70.3185|	48.3409|	50.2274|	67.355|	19.2889|	
1|	917036|	2|	54.6072|	0.0153214 (0, 0.836659, 0) |	60.0364|	35.3962|	24.6129|	71.8112|	8.5549|	
1|	917122|	2|	35.5227|	0 (0, 0, 0) |	91.781|	32.3607|	106.207|	68.8898|	4.90826|	
1|	917196|	2|	36.7573|	0.0726164 (0, 1.30389, 1.3653) |	97.0723|	88.4645|	33.2506|	67.6197|	13.9632|	
1|	917203|	2|	102.158|	0.0558733 (0, 2.11621, 3.5917) |	102.149|	64.6674|	32.3308|	114.663|	9.4201|	
1|	2438181|	5|	97.0256|	0.017408 (1.12416, 0, 0.564858) |	90.4397|	38.94|	18.1257|	46.8268|	8.15029|	
1|	2438280|	5|	23.1825|	0.141429 (0, 1.65965, 1.61902) |	112.608|	88.809|	86.013|	89.2933|	5.2486|	
1|	2438489|	5|	61.9712|	0.0727852 (0.967379, 0.85263, 2.69058) |	73.527|	70.1862|	30.3331|	75.0182|	5.39574|	
1|	2438516|	5|	34.263|	0.0355762 (0, 0.671604, 0.547344) |	119.999|	72.9139|	52.4528|	84.1371|	10.3726|	
1|	2150026|	5|	32.5037|	0.0382288 (0, 0.675035, 0.567544) |	53.2166|	41.4676|	61.5705|	80.6604|	15.4996|	
1|	2150290|	5|	40.0045|	0.0249666 (0, 0.998776, 0) |	92.0115|	52.2541|	46.1459|	62.6912|	14.9431|	
1|	2150339|	5|	29.085|	0.00895373 (0, 0.260419, 0) |	50.0255|	41.3277|	44.0882|	71.0597|	3.70087|	
1|	2150419|	5|	55.5542|	0.00615927 (0, 0.342174, 0) |	57.1672|	46.6224|	35.9551|	87.896|	4.06446|	
1|	2244279|	5|	53.1431|	0.0152664 (0, 0.811303, 0) |	97.0586|	72.7617|	16.1909|	58.5509|	13.5349|	
1|	2244333|	5|	31.1796|	0.0528476 (0, 0.802525, 0.845243) |	76.3873|	54.7814|	34.6356|	58.8784|	5.80344|	
1|	2244428|	5|	44.8764|	0.0170866 (0.766788, 0, 0) |	67.4279|	38.4673|	28.8717|	65.5069|	3.44791|	
1|	2244598|	5|	24.2086|	0.0867199 (0, 1.57659, 0.522779) |	56.4282|	41.4439|	84.596|	82.4571|	4.01462|	
1|	2244804|	5|	84.8202|	0.0236708 (0, 0, 2.00776) |	117.456|	50.1364|	83.8594|	74.3406|	4.55883|	
1|	2244810|	5|	41.6458|	0 (0, 0, 0) |	92.6755|	51.3977|	42.2454|	78.3967|	4.39061|	
1|	2244867|	5|	42.0723|	0.0111126 (0, 0.467533, 0) |	58.6405|	50.8513|	55.831|	72.9979|	8.99345|	
1|	2450415|	5|	28.5262|	0.0781765 (0, 1.27369, 0.95639) |	79.6016|	61.6518|	66.8071|	87.0834|	5.4601|	
1|	2450607|	5|	36.6774|	0 (0, 0, 0) |	62.8028|	41.3244|	55.0651|	75.2955|	8.00356|	
1|	2450640|	5|	27.2894|	0.0256705 (0, 0, 0.700535) |	57.7639|	46.9833|	80.3262|	47.8783|	3.44248|	
1|	2450703|	5|	38.3617|	0 (0, 0, 0) |	53.285|	33.5621|	14.3462|	40.8242|	9.34955|	
1|	2450717|	5|	64.6213|	0.0531901 (3.43721, 0, 0) |	69.1704|	31.4641|	36.2578|	73.5665|	4.55688|	
1|	2450835|	5|	44.3102|	0.0533888 (0, 2.36567, 0) |	115.969|	89.8567|	42.9293|	77.2017|	6.30377|	
1|	2469881|	5|	34.3749|	0.0191973 (0, 0.659904, 0) |	161.215|	140.909|	44.4112|	77.2544|	7.10743|	
1|	2469887|	5|	35.8696|	0.0401979 (0, 0, 1.44188) |	56.3204|	46.7729|	34.5919|	63.6327|	3.54715|	
1|	2469979|	5|	49.6083|	0.0531873 (1.35149, 1.28704, 0) |	37.6758|	35.417|	34.3382|	79.6902|	6.01246|	
1|	2482156|	5|	38.9077|	0.0644578 (0, 1.80343, 0.704476) |	101.839|	80.1968|	40.5165|	45.3847|	23.162|	
1|	2482248|	5|	27.633|	0.0251358 (0, 0.694577, 0) |	82.6643|	41.0737|	110.077|	81.5547|	22.6415|	
1|	2482270|	5|	58.5338|	0.0208877 (0, 1.22264, 0) |	58.1883|	56.2004|	39.2068|	65.3053|	7.06831|	
1|	2482313|	5|	24.9238|	0.119731 (0, 2.38407, 0.600087) |	47.5871|	30.063|	44.3143|	49.6874|	6.74075|	
1|	2482344|	5|	55.5735|	0.0312468 (0, 1.73649, 0) |	107.19|	96.8839|	54.2172|	88.9528|	3.57752|	
1|	2482503|	5|	25.7422|	0.0970605 (0.836192, 1.66236, 0) |	61.7794|	48.7821|	25.6157|	50.8071|	5.48035|	
1|	2482509|	5|	88.6605|	0.0240974 (1.91836, 0.218129, 0) |	38.9395|	34.8391|	40.1771|	105.229|	7.67845|	
1|	2482524|	5|	43.3913|	0.0163655 (0, 0.71012, 0) |	173.91|	73.3224|	120.24|	78.5399|	4.31262|	
1|	2482645|	5|	31.8455|	0.11246 (0.933505, 0.26504, 2.38279) |	206.605|	43.6782|	157.537|	69.0643|	10.0685|	
1|	2482652|	5|	108.294|	0.00568503 (0, 0.615654, 0) |	136.518|	59.2214|	51.4618|	85.2735|	18.8866|	
1|	2482692|	5|	56.8684|	0.00985072 (0, 0.560194, 0) |	128.985|	32.9082|	85.1841|	76.4491|	10.8182|	
1|	2482738|	5|	75.0351|	0.0196338 (0, 1.47322, 0) |	78.277|	55.7906|	53.1616|	75.6659|	7.12424|	
1|	2482775|	5|	63.5181|	0 (0, 0, 0) |	86.2535|	82.1934|	37.1029|	83.1247|	4.39008|	
1|	2482782|	5|	52.0831|	0.068718 (0, 1.59844, 1.9806) |	53.6479|	45.23|	26.7269|	73.4194|	5.17155|	
1|	2078582|	5|	31.4464|	0.0570537 (0, 1.79413, 0) |	112.104|	95.7013|	13.6049|	41.3462|	6.57618|	
1|	2078914|	5|	72.6609|	0.00806535 (0, 0.586035, 0) |	173.744|	126.322|	36.6574|	85.1911|	4.68895|	
1|	2078953|	5|	28.4082|	0.0657899 (0, 1.86897, 0) |	87.7731|	51.6519|	97.4568|	82.9605|	10.706|	
1|	2078961|	5|	44.1749|	0.132373 (1.67506, 1.59985, 2.57267) |	77.7956|	50.8458|	70.3951|	97.593|	12.6273|	
1|	2078965|	5|	45.2241|	0 (0, 0, 0) |	80.3335|	77.8316|	63.3757|	96.0382|	3.57899|	
1|	2079111|	5|	43.9189|	0.0370376 (0, 0.255452, 1.3712) |	71.801|	50.6711|	45.882|	86.2913|	8.21277|	
1|	2533525|	6|	33.611|	0.0506148 (1.70121, 0, 0) |	145.286|	109.126|	43.7583|	76.3276|	14.1263|	
1|	2533604|	6|	23.0894|	0.0768342 (0.759811, 0.30476, 0.709487) |	97.4078|	63.5184|	39.6925|	60.5443|	5.57508|	
1|	2533891|	6|	26.6647|	0 (0, 0, 0) |	42.622|	32.5697|	42.1153|	57.1438|	3.97131|	
1|	2533974|	6|	53.1331|	0.0216795 (1.1519, 0, 0) |	111.777|	68.9261|	54.7257|	96.5627|	6.21278|	
1|	2766212|	6|	21.4031|	0.0912142 (0, 1.95227, 0) |	49.9333|	38.6819|	73.2928|	57.1033|	3.49585|	
1|	2766306|	6|	86.0763|	0.00496216 (0, 0.427124, 0) |	57.7429|	38.7346|	42.5537|	101.531|	4.46266|	
