Exactly one tight muon:
------------------------------------------------------------------------------------
Initial	Scrap	HEHB	Trigger	PV	Muon	LMVeto	LEVeto	Jet	MT	bTag

19069	19069	0	1444	1442	1185	0	0	0	0	0
------------------------------------------------------------------------------------

RunNumber|	EventNumber|	LumiBlock|	ptLepton|	relIso|	ptjet1|	ptjet2|	MET|	MT|	btagjet1|	btagjet2
================================================================================================================================
1|	3279940|	7|	61.8252|	0 (0, 0, 0) |	|	|				
1|	3279943|	7|	27.3865|	0 (0, 0, 0) |	|	|				
1|	3279972|	7|	41.7497|	0.0590315 (0, 1.24253, 1.22202) |	|	|				
1|	3279998|	7|	63.6564|	0.0224393 (0, 1.4284, 0) |	|	|				
1|	3280015|	7|	79.9392|	0.0302702 (0, 0.607662, 1.81211) |	|	|				
1|	3280040|	7|	82.0193|	0 (0, 0, 0) |	|	|				
1|	3280073|	7|	53.6145|	0.0625617 (0, 1.60164, 1.75257) |	|	|				
1|	3280087|	7|	58.1523|	0.00716946 (0, 0.416921, 0) |	|	|				
1|	3280096|	7|	28.2094|	0.0689785 (0, 0, 1.94584) |	|	|				
1|	3280142|	7|	57.7111|	0.00894491 (0, 0.51622, 0) |	|	|				
1|	3280146|	7|	22.732|	0 (0, 0, 0) |	|	|				
1|	3280162|	7|	28.4982|	0 (0, 0, 0) |	|	|				
1|	3280178|	7|	90.5607|	0 (0, 0, 0) |	|	|				
1|	3280179|	7|	36.7143|	0.0104462 (0, 0.383525, 0) |	|	|				
1|	3280182|	7|	26.7261|	0.127469 (0, 2.18192, 1.22485) |	|	|				
1|	3280203|	7|	46.1651|	0.0216085 (0, 0.410438, 0.587119) |	|	|				
1|	3280213|	7|	20.5799|	0.133372 (1.86138, 0.883395, 0) |	|	|				
1|	3280221|	7|	59.769|	0.0398668 (0, 1.12619, 1.25661) |	|	|				
1|	3280256|	7|	23.1624|	0.055668 (0, 1.2894, 0) |	|	|				
1|	3280261|	7|	108.914|	0.008799 (0, 0.206176, 0.75216) |	|	|				
1|	3280269|	7|	22.7521|	0.0889088 (0, 0, 2.02287) |	|	|				
1|	3280270|	7|	53.595|	0 (0, 0, 0) |	|	|				
1|	3280273|	7|	27.592|	0 (0, 0, 0) |	|	|				
1|	3280282|	7|	22.6992|	0 (0, 0, 0) |	|	|				
1|	3280316|	7|	34.6624|	0.00999937 (0, 0.346602, 0) |	|	|				
1|	3280347|	7|	58.0665|	0 (0, 0, 0) |	|	|				
1|	3905247|	8|	25.2831|	0 (0, 0, 0) |	|	|				
1|	3905256|	8|	29.5371|	0.112206 (0, 0.318878, 2.99535) |	|	|				
1|	3905283|	8|	40.9423|	0.0740319 (0, 1.85245, 1.17859) |	|	|				
1|	3905286|	8|	33.72|	0 (0, 0, 0) |	|	|				
1|	3905290|	8|	353.596|	0.00278664 (0.985346, 0, 0) |	|	|				
1|	3905291|	8|	20.6971|	0.0236142 (0, 0.488745, 0) |	|	|				
1|	3905350|	8|	40.8069|	0.0571498 (0, 2.3321, 0) |	|	|				
1|	3905374|	8|	69.7948|	0.0427573 (0, 1.52308, 1.46115) |	|	|				
1|	3905406|	8|	48.2824|	0.0384135 (0, 1.85469, 0) |	|	|				
1|	3905411|	8|	35.5224|	0.111724 (0, 3.208, 0.76071) |	|	|				
1|	3905422|	8|	26.5115|	0.00741913 (0, 0.196692, 0) |	|	|				
1|	3905426|	8|	69.6565|	0.00279232 (0, 0.194503, 0) |	|	|				
1|	3905428|	8|	27.2938|	0 (0, 0, 0) |	|	|				
1|	3905438|	8|	78.3186|	0.0223411 (0, 1.03096, 0.718771) |	|	|				
1|	3905462|	8|	36.6967|	0.0271367 (0, 0.995828, 0) |	|	|				
1|	3905474|	8|	28.6396|	0.0619256 (0, 0.400382, 1.37314) |	|	|				
1|	3905479|	8|	62.715|	0.0214389 (0, 0.628482, 0.716059) |	|	|				
1|	3905508|	8|	44.4095|	0 (0, 0, 0) |	|	|				
1|	3905516|	8|	25.2052|	0.0489024 (0, 1.2326, 0) |	|	|				
1|	3905544|	8|	48.1635|	0.00408866 (0, 0.196924, 0) |	|	|				
1|	3905551|	8|	57.4905|	0.0194489 (0, 1.11813, 0) |	|	|				
1|	3905625|	8|	22.0067|	0.0419548 (0, 0, 0.923289) |	|	|				
1|	3905632|	8|	44.9249|	0.0916394 (0, 3.08677, 1.03012) |	|	|				
1|	3905646|	8|	60.7895|	0.0154122 (0, 0.936898, 0) |	|	|				
1|	3905653|	8|	35.1787|	0.00340537 (0, 0.119797, 0) |	|	|				
1|	3905655|	8|	52.5619|	0 (0, 0, 0) |	|	|				
1|	3905661|	8|	42.2652|	0 (0, 0, 0) |	|	|				
1|	3905673|	8|	28.9672|	0 (0, 0, 0) |	|	|				
1|	3905691|	8|	32.6346|	0.0172528 (0, 0, 0.563037) |	|	|				
1|	3905715|	8|	74.5594|	0.0840253 (0, 4.5781, 1.68678) |	|	|				
1|	3905724|	8|	38.9062|	0.0341723 (0, 1.32951, 0) |	|	|				
1|	3905749|	8|	64.24|	0 (0, 0, 0) |	|	|				
1|	3905756|	8|	30.5123|	0.0265094 (0, 0.0763766, 0.732485) |	|	|				
1|	3905833|	8|	42.9978|	0.0572473 (0, 2.46151, 0) |	|	|				
1|	165105|	1|	63.4219|	0.0619171 (0, 3.37788, 0.549022) |	|	|				
1|	165134|	1|	25.1077|	0.0798269 (0, 2.00427, 0) |	|	|				
1|	165155|	1|	30.1345|	0 (0, 0, 0) |	|	|				
1|	165168|	1|	104.845|	0.0180688 (0, 1.89442, 0) |	|	|				
1|	165181|	1|	80.6216|	0.024576 (1.29019, 0, 0.691161) |	|	|				
1|	165209|	1|	53.9436|	0.019144 (0, 1.03269, 0) |	|	|				
1|	165222|	1|	36.9096|	0.0515839 (0, 1.90394, 0) |	|	|				
1|	165227|	1|	34.7316|	0 (0, 0, 0) |	|	|				
1|	165237|	1|	29.9433|	0 (0, 0, 0) |	|	|				
1|	165239|	1|	43.3233|	0.0681722 (0, 2.95345, 0) |	|	|				
1|	165259|	1|	38.1887|	0.0924938 (0, 3.53222, 0) |	|	|				
