Exactly two selected jets:
------------------------------------------------------------------------------------
Initial	Scrap	HEHB	Trigger	PV	Muon	LMVeto	LEVeto	Jet	MT	bTag

19069	19069	0	1444	1442	1185	1184	1183	563	0	0
------------------------------------------------------------------------------------

RunNumber|	EventNumber|	LumiBlock|	ptLepton|	relIso|	ptjet1|	ptjet2|	MET|	MT|	btagjet1|	btagjet2
================================================================================================================================
1|	3407005|	7|	50.4604|	0.0677818 (2.47614, 0.430391, 0.513766) |	86.9037|	52.8347|	|	|	|	
1|	3407054|	7|	58.3249|	0.0180071 (0, 0.149852, 0.900412) |	122.386|	71.8439|	|	|	|	
1|	3407079|	7|	60.9149|	0.0303062 (1.27271, 0, 0.573392) |	101.622|	74.0036|	|	|	|	
1|	3447451|	7|	71.6225|	0.0596159 (0, 2.14277, 2.12707) |	77.9747|	55.0543|	|	|	|	
1|	3447493|	7|	71.1823|	0.00595596 (0, 0.423959, 0) |	95.4897|	41.456|	|	|	|	
1|	3447505|	7|	62.3948|	0.0206817 (0.623418, 0, 0.667012) |	47.6741|	45.2951|	|	|	|	
1|	3447641|	7|	38.8445|	0.0646964 (0, 1.43024, 1.08285) |	74.9311|	60.6111|	|	|	|	
1|	3447646|	7|	45.9896|	0.0720035 (0, 3.31141, 0) |	156.047|	90.2134|	|	|	|	
1|	3447654|	7|	88.6744|	0.057625 (0.976886, 3.01659, 1.11639) |	69.6683|	39.3754|	|	|	|	
1|	3447683|	7|	70.2425|	0.0428628 (0, 2.13938, 0.871416) |	53.6068|	32.1108|	|	|	|	
1|	3447713|	7|	41.9637|	0.0184972 (0.776209, 0, 0) |	69.1281|	65.0732|	|	|	|	
1|	3447728|	7|	70.5568|	0.0229872 (1.2182, 0.403706, 0) |	136.758|	43.7442|	|	|	|	
1|	3447760|	7|	35.2827|	0 (0, 0, 0) |	50.511|	39.2656|	|	|	|	
1|	3447783|	7|	23.8092|	0.135057 (0, 1.09483, 2.12075) |	45.4625|	44.6651|	|	|	|	
1|	3447787|	7|	42.9473|	0.0652216 (0.844097, 1.01864, 0.938363) |	48.4422|	36.1082|	|	|	|	
1|	3447924|	7|	20.9999|	0.0119399 (0, 0.250735, 0) |	51.6227|	33.2656|	|	|	|	
1|	3447945|	7|	51.2214|	0.0396375 (1.44697, 0, 0.583322) |	57.6774|	54.5445|	|	|	|	
1|	3447949|	7|	63.3695|	0 (0, 0, 0) |	77.4479|	61.4161|	|	|	|	
1|	3447955|	7|	28.6613|	0.0397635 (1.13967, 0, 0) |	97.1997|	42.8877|	|	|	|	
1|	3447965|	7|	56.4648|	0.00818312 (0, 0.462058, 0) |	67.3988|	32.9644|	|	|	|	
1|	3447967|	7|	27.0165|	0.0227251 (0.613952, 0, 0) |	85.6359|	45.8856|	|	|	|	
1|	3448007|	7|	53.8666|	0.0182643 (0, 0.983834, 0) |	71.0114|	48.6474|	|	|	|	
1|	3075615|	7|	70.7145|	0.0181449 (0, 1.28311, 0) |	83.6691|	56.5225|	|	|	|	
1|	3075626|	7|	54.7977|	0.0474406 (0, 1.45663, 1.143) |	82.5317|	62.9616|	|	|	|	
1|	3075641|	7|	23.1653|	0 (0, 0, 0) |	57.5021|	41.7563|	|	|	|	
1|	3075688|	7|	32.4821|	0.05312 (1.37755, 0.347899, 0) |	110.002|	39.0759|	|	|	|	
1|	3075710|	7|	43.8499|	0.0549469 (0, 1.78259, 0.62683) |	93.9516|	34.1224|	|	|	|	
1|	3075822|	7|	25.591|	0.135754 (0, 2.79029, 0.683784) |	88.2344|	32.8271|	|	|	|	
1|	3075844|	7|	24.635|	0.0864655 (0.941718, 0.504659, 0.683699) |	78.756|	61.8873|	|	|	|	
1|	3075859|	7|	70.7264|	0.00286756 (0, 0.202812, 0) |	100.193|	39.5537|	|	|	|	
1|	3075865|	7|	49.3187|	0.01927 (0, 0.950372, 0) |	51.0716|	38.8361|	|	|	|	
1|	3075869|	7|	53.9149|	0.0687889 (0.91441, 2.79434, 0) |	82.1483|	50.409|	|	|	|	
1|	3075883|	7|	77.5499|	0.0222392 (0, 0.226391, 1.49826) |	81.1128|	44.244|	|	|	|	
1|	3075921|	7|	58.9116|	0.0366461 (1.7985, 0.360375, 0) |	55.0859|	32.7229|	|	|	|	
1|	3075977|	7|	29.2708|	0.0577249 (1.09266, 0, 0.597001) |	35.1333|	30.2656|	|	|	|	
1|	3076011|	7|	53.9673|	0.11838 (1.52188, 4.86678, 0) |	54.5069|	47.7382|	|	|	|	
