 ==  = 
|    Run |             SelectedLS |     Recorded |           HLTpath |              L1bit |    Effective |
| 163375 |                 [1-10] |  65.643(/nb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |  65.643(/nb) |
| 163376 |       [1-20], [22-246] |   1.697(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   1.697(/pb) |
| 163378 |      [1-81], [89-179], |   3.683(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   3.683(/pb) |
|        |   [181-272], [306-615] |              |                   |                    |              |
| 163385 |     [52-77], [86-240], |   3.032(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   3.032(/pb) |
|        |  [244-265], [267-272], |              |                   |                    |              |
|        |              [280-405] |              |                   |                    |              |
| 163387 |                [1-256] |   2.070(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   2.070(/pb) |
| 163402 |   [37-250], [271-560], |   6.924(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   6.924(/pb) |
|        |   [581-582], [586-801] |              |                   |                    |              |
| 163475 |      [30-42], [51-86], |   2.549(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   2.549(/pb) |
|        |      [89-90], [93-96], |              |                   |                    |              |
|        |   [101-229], [238-282] |              |                   |                    |              |
| 163476 |       [1-94], [98-203] |   2.060(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   2.060(/pb) |
| 163478 |                 [1-48] | 464.076(/nb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) | 464.076(/nb) |
| 163479 |       [1-61], [65-73], |   1.533(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   1.533(/pb) |
|        |     [77-79], [82-124], |              |                   |                    |              |
|        |   [128-154], [160-175] |              |                   |                    |              |
| 163480 |      [1-92], [96-188], |   1.706(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   1.706(/pb) |
|        |              [190-191] |              |                   |                    |              |
| 163481 |       [1-72], [74-77], | 655.180(/nb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) | 655.180(/nb) |
|        |                [79-79] |              |                   |                    |              |
| 163482 |                 [1-27] | 233.252(/nb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) | 233.252(/nb) |
| 163483 |                 [1-56] | 377.653(/nb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) | 377.653(/nb) |
| 163582 |                 [1-21] | 251.847(/nb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) | 251.847(/nb) |
| 163583 |       [1-10], [12-63], |   2.837(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   2.837(/pb) |
|        |     [65-92], [96-155], |              |                   |                    |              |
|        |   [157-173], [175-205] |              |                   |                    |              |
| 163584 |                 [1-56] | 768.191(/nb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) | 768.191(/nb) |
| 163585 |                 [1-32] | 437.384(/nb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) | 437.384(/nb) |
| 163586 |                 [1-75] |   1.023(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   1.023(/pb) |
| 163587 |                 [1-52] | 691.925(/nb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) | 691.925(/nb) |
| 163588 |       [1-8], [10-166], |   5.503(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   5.503(/pb) |
|        |              [175-446] |              |                   |                    |              |
| 163589 |       [1-49], [51-160] |   1.878(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   1.878(/pb) |
| 163596 |                 [1-29] | 259.778(/nb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) | 259.778(/nb) |
| 163630 |    [76-164], [176-185] |   1.273(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   1.273(/pb) |
| 163655 |                [15-23] | 132.516(/nb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) | 132.516(/nb) |
| 163657 |                [1-140] |   2.127(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   2.127(/pb) |
| 163658 |                  [1-2] |   6.266(/nb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   6.266(/nb) |
| 163659 |    [1-374], [376-650], |   9.447(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   9.447(/pb) |
|        |              [652-705] |              |                   |                    |              |
| 163660 |                 [1-61] | 745.387(/nb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) | 745.387(/nb) |
| 163661 |                 [1-10] | 113.098(/nb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) | 113.098(/nb) |
| 163662 |                [1-154] |   1.819(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   1.819(/pb) |
| 163663 |     [1-106], [109-244] |   2.660(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   2.660(/pb) |
| 163664 |     [1-119], [121-178] |   1.872(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   1.872(/pb) |
| 163668 |      [1-53], [57-136], |   2.053(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   2.053(/pb) |
|        |              [140-213] |              |                   |                    |              |
| 163738 |      [34-50], [59-91], |   2.846(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   2.846(/pb) |
|        |  [102-111], [124-125], |              |                   |                    |              |
|        |  [128-135], [142-143], |              |                   |                    |              |
|        |  [146-153], [162-179], |              |                   |                    |              |
|        |  [184-185], [190-217], |              |                   |                    |              |
|        |  [226-265], [270-277], |              |                   |                    |              |
|        |  [280-281], [288-289], |              |                   |                    |              |
|        |   [292-293], [296-311] |              |                   |                    |              |
| 163757 | [1-3], [6-18], [33-40] | 334.389(/nb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) | 334.389(/nb) |
| 163758 |      [1-17], [19-220], |   7.413(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   7.413(/pb) |
|        |  [222-224], [236-276], |              |                   |                    |              |
|        |  [283-374], [376-466], |              |                   |                    |              |
|        |              [468-590] |              |                   |                    |              |
| 163759 |       [1-60], [62-72], |   5.794(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   5.794(/pb) |
|        |   [74-456], [458-461], |              |                   |                    |              |
|        |   [463-482], [504-510] |              |                   |                    |              |
| 163760 |      [1-16], [25-162], |   3.585(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   3.585(/pb) |
|        |              [165-340] |              |                   |                    |              |
| 163761 |                [1-203] |   2.098(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   2.098(/pb) |
| 163763 |                 [1-79] | 787.512(/nb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) | 787.512(/nb) |
| 163765 |                [1-321] |   2.970(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   2.970(/pb) |
| 163795 |      [10-34], [36-36], | 458.584(/nb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) | 458.584(/nb) |
|        |                [38-43] |              |                   |                    |              |
