bash-3.2$ python lumiCalc3.py -i prv4.json -hltpath HLT_IsoMu17_v* -norm pp7TeV -prescales "onlyUnprescaled" recorded
 ==  = 
|    Run |             SelectedLS |     Recorded |            HLTpath |              L1bit |    Effective |
| 167103 |                 [1-93] |   1.625(/pb) | HLT_IsoMu17_v11(1) | "L1_SingleMu10"(1) |   1.625(/pb) |
| 167151 |                 [1-42] | 992.486(/nb) | HLT_IsoMu17_v11(1) | "L1_SingleMu10"(1) | 992.486(/nb) |
| 167281 |   [18-140], [146-315], |  13.283(/pb) | HLT_IsoMu17_v11(1) | "L1_SingleMu10"(1) |  13.283(/pb) |
|        |              [317-593] |              |                    |                    |              |
| 167282 |                [1-441] |   8.486(/pb) | HLT_IsoMu17_v11(1) | "L1_SingleMu10"(1) |   8.486(/pb) |
| 167284 |    [1-315], [320-346], |  24.551(/pb) | HLT_IsoMu17_v11(1) | "L1_SingleMu10"(1) |  24.551(/pb) |
|        |  [356-395], [399-474], |              |                    |                    |              |
|        |            [476-1157], |              |                    |                    |              |
|        |           [1160-1628], |              |                    |                    |              |
|        |            [1633-1644] |              |                    |                    |              |
| 167551 |    [56-190], [196-470] |  10.962(/pb) | HLT_IsoMu17_v11(1) | "L1_SingleMu10"(1) |  10.962(/pb) |
| 167673 |  [210-236], [239-305], |   5.866(/pb) | HLT_IsoMu17_v11(1) | "L1_SingleMu10"(1) |   5.866(/pb) |
|        |   [309-418], [423-446] |              |                    |                    |              |
| 167674 |                [1-345] |   8.189(/pb) | HLT_IsoMu17_v11(1) | "L1_SingleMu10"(1) |   8.189(/pb) |
| 167675 |    [1-129], [133-299], |  19.193(/pb) | HLT_IsoMu17_v11(1) | "L1_SingleMu10"(1) |  19.193(/pb) |
|        |  [301-617], [690-707], |              |                    |                    |              |
|        |  [710-712], [715-716], |              |                    |                    |              |
|        |  [719-719], [721-725], |              |                    |                    |              |
|        |  [740-741], [748-758], |              |                    |                    |              |
|        |  [762-770], [774-787], |              |                    |                    |              |
|        |  [793-797], [811-1062] |              |                    |                    |              |
| 167676 |     [1-278], [289-449] |   7.589(/pb) | HLT_IsoMu17_v11(1) | "L1_SingleMu10"(1) |   7.589(/pb) |
| 167740 |   [79-126], [132-168], |   2.194(/pb) | HLT_IsoMu17_v11(1) | "L1_SingleMu10"(1) |   2.194(/pb) |
|        |              [170-172] |              |                    |                    |              |
| 167746 |               [56-383] |   8.398(/pb) | HLT_IsoMu17_v11(1) | "L1_SingleMu10"(1) |   8.398(/pb) |
| 167754 |               [62-102] | 999.621(/nb) | HLT_IsoMu17_v11(1) | "L1_SingleMu10"(1) | 999.621(/nb) |
| 167784 |                [51-67] | 430.790(/nb) | HLT_IsoMu17_v11(1) | "L1_SingleMu10"(1) | 430.790(/nb) |
| 167786 |        [1-1], [11-75], |   3.995(/pb) | HLT_IsoMu17_v11(1) | "L1_SingleMu10"(1) |   3.995(/pb) |
|        |               [81-175] |              |                    |                    |              |
| 167807 |   [60-159], [178-204], |  40.683(/pb) | HLT_IsoMu17_v11(1) | "L1_SingleMu10"(1) |  40.683(/pb) |
|        |  [210-482], [484-558], |              |                    |                    |              |
|        | [560-872], [878-1441], |              |                    |                    |              |
|        |            [1444-1842] |              |                    |                    |              |
| 167830 |    [1-437], [442-587], |  20.378(/pb) | HLT_IsoMu17_v11(1) | "L1_SingleMu10"(1) |  20.378(/pb) |
|        |  [590-828], [834-1242] |              |                    |                    |              |
| 167898 |  [108-619], [621-995], |  38.093(/pb) | HLT_IsoMu17_v11(1) | "L1_SingleMu10"(1) |  38.093(/pb) |
|        |           [1001-1010], |              |                    |                    |              |
|        |           [1013-1053], |              |                    |                    |              |
|        |           [1057-1295], |              |                    |                    |              |
|        |            [1298-1762] |              |                    |                    |              |
| 167913 |     [1-126], [128-432] |   7.623(/pb) | HLT_IsoMu17_v11(1) | "L1_SingleMu10"(1) |   7.623(/pb) |

 ==  =  Total : 
|         HLTPath | SelectedLS |     Recorded |    Effective |
--------------------------------------------------------------
| HLT_IsoMu17_v10 |        167 | 929.062(/pb) |   4.291(/pb) |
| HLT_IsoMu17_v11 |      11715 | 929.062(/pb) | 243.013(/pb) |
|  HLT_IsoMu17_v8 |       9358 | 929.062(/pb) | 139.027(/pb) |
|  HLT_IsoMu17_v9 |      25781 | 929.062(/pb) | 542.731(/pb) |

